,0
num__num_fg__Polynomial__history_treat^3,0.033736183510281154
num__num_fg__Quantile__history_treat,0.03365472686932189
num__num_fg__Polynomial__history_treat,0.033443151115535204
num__num_fg__Polynomial__recency recency_score history_treat,0.0332402172945172
num__num_fg__Polynomial__recency_score history_treat,0.03322218567631667
num__num_fg__Polynomial__recency_score history_treat^2,0.03319692914593251
num__history_treat,0.0331173071030855
num__num_fg__Polynomial__recency_score recency_treat history_treat,0.032897321955013624
num__num_fg__Polynomial__recency history_treat^2,0.032614823371198684
num__num_fg__Polynomial__recency^2 history_treat,0.0324938808491291
num__num_fg__Polynomial__history_treat^2,0.03219285746133833
num__num_fg__Polynomial__recency history_treat,0.03189739047119422
num__num_fg__Polynomial__recency_score^2 history_treat,0.031582273045467256
num__num_fg__Polynomial__recency_treat history_treat,0.031549156887600606
num__num_fg__Polynomial__recency recency_treat history_treat,0.030761673613028007
num__num_fg__Polynomial__recency_treat history_treat^2,0.030632456863945858
num__num_fg__Polynomial__recency_treat^2 history_treat,0.030337985223432284
num__zip_code,0.029223769405441156
num__cat_fg__newbie_1,0.02680807505494165
num__history_segment,0.0263268108587133
num__newbie,0.025824874216388464
num__channel,0.02252207994626046
num__mens,0.01845177224461169
num__cat_fg__mens_1,0.017723943463618146
num__cat_fg__zip_code_2,0.0172673694133453
num__cat_fg__channel_1,0.016859613822863603
num__cat_fg__zip_code_1,0.016176348098441606
num__cat_fg__channel_2,0.01443274398404126
num__cat_fg__womens_1,0.014287765290116314
num__womens,0.01356066328371298
num__cat_fg__history_segment_1,0.010056150174926922
num__num_fg__Polynomial__recency^2 recency_score,0.008647043633982937
num__num_fg__Polynomial__recency^3,0.008161874727869419
num__recency,0.008155181431271813
num__cat_fg__history_segment_2,0.008020913325651486
num__num_fg__Polynomial__recency recency_score^2,0.007854575342330175
num__num_fg__Polynomial__recency_score,0.00767114361517479
num__num_fg__Polynomial__recency_score^2,0.007574779055607987
num__recency_score,0.0075716561493585355
num__cat_fg__history_segment_3,0.007491550476835539
num__num_fg__Polynomial__recency_score^3,0.007302125606519935
num__num_fg__Quantile__recency_score,0.007242472040966002
num__num_fg__Polynomial__recency,0.00718744918135109
num__num_fg__Polynomial__recency recency_score,0.007046587356480419
num__num_fg__Quantile__recency,0.006341317466457436
num__num_fg__Polynomial__recency^2,0.006273292219973665
num__womens_treat,0.006149262870219277
num__cat_fg__womens_treat_1,0.005941165187942839
num__cat_fg__history_segment_4,0.0040936043975982675
num__num_fg__KBinsDiscretizer__recency_score,0.0040756083863983245
num__num_fg__KBinsDiscretizer__recency,0.004067680671385501
num__cat_fg__history_segment_5,0.003855492739541221
num__cat_fg__history_segment_6,0.003368044969976336
num__num_fg__Polynomial__recency_score^2 recency_treat,0.0030052186999881838
num__num_fg__Polynomial__recency^2 recency_treat,0.0028989965267349287
num__num_fg__Polynomial__recency recency_score recency_treat,0.0028594180518726757
num__num_fg__Polynomial__recency recency_treat,0.0028108749711995683
num__num_fg__Polynomial__recency_treat,0.002678525853074986
num__num_fg__Polynomial__recency_score recency_treat,0.002626277394801088
num__num_fg__Quantile__recency_treat,0.002606855831959614
num__num_fg__Polynomial__recency recency_treat^2,0.0025905194855565788
num__num_fg__Polynomial__recency_treat^3,0.0025873565284943553
num__recency_treat,0.0025492874119942745
num__num_fg__Polynomial__recency_treat^2,0.0025380606782882884
num__num_fg__Polynomial__recency_score recency_treat^2,0.002488038170288972
num__num_fg__KBinsDiscretizer__recency_treat,0.0011223598146166945
num__num_fg__KBinsDiscretizer__history_treat,0.0005895143591604915
num__treatment,0.000563066409884723
cat__group_treatment,0.0005204061483824383
cat__group_control,0.0005085809949504753
num__cat_fg__treatment_1,0.00027132210209776004
num__num_fg__Polynomial__1,0.0
