,0
num_fg__Polynomial__recency_score channel_freq_enc^2,0.049887195
newbie,0.040191997
mens,0.032729615
history_segment,0.032474097
womens,0.031975247
gender_mix_treat,0.03171874
num_fg__Polynomial__recency_score recency_treat^2,0.031121718
num_fg__Polynomial__recency_treat channel_freq_enc^2,0.023833072
num_fg__Polynomial__recency history_treat^2,0.023496352
num_fg__Polynomial__recency_treat^2 channel_freq_enc,0.022986852
num_fg__Polynomial__recency_score^2 gender_mix_treat,0.022274632
num_fg__Polynomial__recency_treat^2 gender_mix_treat,0.018238116
recency,0.018161738
num_fg__Polynomial__recency_score history_treat^2,0.01769187
num_fg__Polynomial__recency recency_treat^2,0.017162709
num_fg__Polynomial__history_treat gender_mix_treat^2,0.017086051
cat_fg__channel_1,0.015503176
zip_code,0.014909718
num_fg__Polynomial__recency channel_freq_enc,0.014504389
num_fg__Polynomial__recency recency_treat,0.013976525
num_fg__Polynomial__recency_score recency_treat,0.013072057
cat_fg__history_segment_1,0.012966739
treatment,0.012139508
num_fg__Polynomial__history_treat gender_mix_treat,0.01205013
num_fg__Polynomial__recency_treat gender_mix_treat^2,0.011962616
channel,0.011776526
num_fg__Polynomial__recency_treat gender_mix_treat,0.011249754
num_fg__Polynomial__recency_score^2,0.011149523
num_fg__Polynomial__recency channel_freq_enc^2,0.010699992
num_fg__Polynomial__recency_score^2 recency_treat,0.01065738
num_fg__Polynomial__recency gender_mix_treat,0.010390945
num_fg__Polynomial__history_treat^2 gender_mix_treat,0.009972556
num_fg__Polynomial__recency recency_treat channel_freq_enc,0.009885719
num_fg__Polynomial__gender_mix_treat channel_freq_enc,0.009605508
num_fg__Polynomial__recency_score recency_treat gender_mix_treat,0.009391271
num_fg__Polynomial__recency_score gender_mix_treat channel_freq_enc,0.0093767475
num_fg__Polynomial__recency_treat history_treat,0.009148164
num_fg__Polynomial__history_treat channel_freq_enc,0.008844519
num_fg__Polynomial__recency_score history_treat channel_freq_enc,0.008843931
num_fg__Polynomial__recency_score gender_mix_treat,0.008676265
num_fg__Polynomial__recency_treat history_treat channel_freq_enc,0.008657766
num_fg__Polynomial__recency history_treat,0.008579641
num_fg__Polynomial__recency_score history_treat gender_mix_treat,0.0085200155
num_fg__Polynomial__recency_treat gender_mix_treat channel_freq_enc,0.00845075
num_fg__Polynomial__history_treat^2 channel_freq_enc,0.008231099
num_fg__Polynomial__recency_score recency_treat history_treat,0.008188089
num_fg__Polynomial__recency_score^2 channel_freq_enc,0.008153453
num_fg__Polynomial__history_treat^2,0.008115772
num_fg__Polynomial__recency_treat channel_freq_enc,0.008111289
num_fg__Polynomial__recency recency_score gender_mix_treat,0.007977536
num_fg__Polynomial__recency recency_score history_treat,0.007942231
num_fg__Polynomial__recency^2 recency_score,0.007887877
num_fg__Polynomial__recency_treat history_treat^2,0.007857313
num_fg__Polynomial__recency_score recency_treat channel_freq_enc,0.007739435
num_fg__Polynomial__history_treat gender_mix_treat channel_freq_enc,0.0077149905
num_fg__Polynomial__recency^2 gender_mix_treat,0.0076394123
num_fg__Polynomial__recency_treat history_treat gender_mix_treat,0.007480475
num_fg__Polynomial__gender_mix_treat^2 channel_freq_enc,0.007344935
num_fg__Polynomial__recency_score^2 history_treat,0.0072736684
num_fg__Polynomial__recency^2 channel_freq_enc,0.007269577
num_fg__Polynomial__recency_score history_treat,0.007201005
num_fg__Polynomial__recency_treat^2 history_treat,0.007089101
num_fg__Polynomial__recency^2,0.007079429
num_fg__Polynomial__history_treat channel_freq_enc^2,0.0070452304
num_fg__Polynomial__recency gender_mix_treat channel_freq_enc,0.007023499
history_treat,0.0069903727
num_fg__Polynomial__recency^2 history_treat,0.006820384
recency_treat,0.00680879
num_fg__Polynomial__recency recency_treat history_treat,0.006387244
num_fg__Polynomial__recency_score channel_freq_enc,0.0063171373
num_fg__Polynomial__recency history_treat channel_freq_enc,0.0061082956
num_fg__Polynomial__recency recency_score,0.005955788
num_fg__Polynomial__recency history_treat gender_mix_treat,0.0057930937
cat_fg__history_segment_5,0.005756025
cat_fg__history_segment_2,0.005665769
cat_fg__history_segment_4,0.0055793864
num_fg__Polynomial__recency recency_score channel_freq_enc,0.0055422042
num_fg__Polynomial__recency recency_score recency_treat,0.0054700444
num_fg__Polynomial__recency gender_mix_treat^2,0.005158443
num_fg__KBinsDiscretizer__history_treat,0.0046431967
cat_fg__zip_code_1,0.0043556723
num_fg__Polynomial__recency recency_treat gender_mix_treat,0.0036361492
cat_fg__history_segment_3,0.00346202
num_fg__Polynomial__gender_mix_treat^2,0.001875011
num_fg__Polynomial__recency^2 recency_treat,0.0011038411
num_fg__Polynomial__recency_treat^2,0.00021391174
cat_fg__newbie_1,0.0
cat_fg__womens_1,0.0
cat_fg__channel_2,0.0
cat_fg__zip_code_2,0.0
cat_fg__treatment_1,0.0
num_fg__Polynomial__recency recency_score^2,0.0
cat_fg__history_segment_6,0.0
num_fg__Polynomial__1,0.0
num_fg__Quantile__channel_freq_enc,0.0
num_fg__Polynomial__recency,0.0
num_fg__Polynomial__recency_score,0.0
num_fg__Polynomial__recency_treat,0.0
num_fg__Polynomial__history_treat,0.0
num_fg__KBinsDiscretizer__recency,0.0
num_fg__Polynomial__channel_freq_enc^3,0.0
num_fg__KBinsDiscretizer__recency_score,0.0
